id,Type,Soustype-Subtype,NbEtagesHorsSol-NbFloorsAboveGround,AnneeModele-ModelYear
1,UnifamilialDetache-SingleFamilyDetached,Pre-1945,1,2024
2,UnifamilialDetache-SingleFamilyDetached,1946-1970,1,2024
3,UnifamilialDetache-SingleFamilyDetached,1971-1985,1,2024
4,UnifamilialDetache-SingleFamilyDetached,1985-2012,1,2024
5,UnifamilialDetache-SingleFamilyDetached,Post-2012,1,2024
6,UnifamilialDetache-SingleFamilyDetached,Pre-1945,2,2024
7,UnifamilialDetache-SingleFamilyDetached,1946-1970,2,2024
8,UnifamilialDetache-SingleFamilyDetached,1971-1985,2,2024
9,UnifamilialDetache-SingleFamilyDetached,1985-2012,2,2024
10,UnifamilialDetache-SingleFamilyDetached,Post-2012,2,2024
11,UnifamilialJumele-SingleFamilySemiDetached,Pre-1945,1,2024
12,UnifamilialJumele-SingleFamilySemiDetached,1946-1970,1,2024
13,UnifamilialJumele-SingleFamilySemiDetached,1971-1985,1,2024
14,UnifamilialJumele-SingleFamilySemiDetached,1985-2012,1,2024
15,UnifamilialJumele-SingleFamilySemiDetached,Post-2012,1,2024
16,UnifamilialJumele-SingleFamilySemiDetached,Pre-1945,2,2024
17,UnifamilialJumele-SingleFamilySemiDetached,1946-1970,2,2024
18,UnifamilialJumele-SingleFamilySemiDetached,1971-1985,2,2024
19,UnifamilialJumele-SingleFamilySemiDetached,1985-2012,2,2024
20,UnifamilialJumele-SingleFamilySemiDetached,Post-2012,2,2024
21,UnifamilialMilieuRangee-SingleFamilyMiddleRow,Pre-1945,2,2024
22,UnifamilialMilieuRangee-SingleFamilyMiddleRow,1946-1970,2,2024
23,UnifamilialMilieuRangee-SingleFamilyMiddleRow,1971-1985,2,2024
24,UnifamilialMilieuRangee-SingleFamilyMiddleRow,1985-2012,2,2024
25,UnifamilialMilieuRangee-SingleFamilyMiddleRow,Post-2012,2,2024
26,UnifamilialFinRangee-SingleFamilyEndRow,Pre-1945,2,2024
27,UnifamilialFinRangee-SingleFamilyEndRow,1946-1970,2,2024
28,UnifamilialFinRangee-SingleFamilyEndRow,1971-1985,2,2024
29,UnifamilialFinRangee-SingleFamilyEndRow,1985-2012,2,2024
30,UnifamilialFinRangee-SingleFamilyEndRow,Post-2012,2,2024
31,Duplex,Pre-1945,2,2024
32,Duplex,1945-1985,2,2024
33,Duplex,1985-2012,2,2024
34,Duplex,Post-2012,2,2024
35,Triplex,Pre-1945,3,2024
36,Triplex,1945-1985,3,2024
37,Triplex,1985-2012,3,2024
38,Triplex,Post-2012,3,2024
39,MultilogementMoyenneHauteur-MidRiseMURB,Pre-1945,5,2024
40,MultilogementMoyenneHauteur-MidRiseMURB,1946-1970,5,2024
41,MultilogementMoyenneHauteur-MidRiseMURB,1971-1985,6,2024
42,MultilogementMoyenneHauteur-MidRiseMURB,1985-2012,6,2024
43,MultilogementMoyenneHauteur-MidRiseMURB,Post-2012,5,2024
44,MultilogementGrandeHauteur-HighRise,Pre-1945,12,2024
45,MultilogementGrandeHauteur-HighRise,1946-1970,11,2024
46,MultilogementGrandeHauteur-HighRise,1971-1985,11,2024
47,MultilogementGrandeHauteur-HighRise,1985-2012,14,2024
48,MultilogementGrandeHauteur-HighRise,Post-2012,14,2024